FROM,TO
brain-UBERON:0000955, forebrain (prosencephalon)-UBERON:0001890
forebrain (prosencephalon)-UBERON:0001890, gray matter of forebrain-UBERON:0019264
gray matter of forebrain-UBERON:0019264, cerebral cortex-UBERON:0000956
cerebral cortex-UBERON:0000956, frontal lobe-UBERON:0016525
frontal lobe-UBERON:0016525, precentral gyrus-UBERON:0002703
precentral gyrus-UBERON:0002703, Primary motor cortex-UBERON:0001384
frontal lobe-UBERON:0016525, superior frontal gyrus-UBERON:0002661
frontal lobe-UBERON:0016525, middle frontal gyrus-UBERON:0002702
frontal lobe-UBERON:0016525, inferior frontal gyrus-UBERON:0002998
inferior frontal gyrus-UBERON:0002998, inferior frontal gyrus, triangular part-UBERON:0002629
inferior frontal gyrus-UBERON:0002998, inferior frontal gyrus, opercular part-UBERON:0002980
inferior frontal gyrus-UBERON:0002998, inferior frontal gyrus, orbital part-UBERON:0002624
frontal lobe-UBERON:0016525, gyrus rectus (straight gyrus)-UBERON:0004671
frontal lobe-UBERON:0016525, medial orbital gyrus-UBERON:0002570
frontal lobe-UBERON:0016525, anterior intermediate orbital gyrus
frontal lobe-UBERON:0016525, posterior intermediate orbital gyrus
frontal lobe-UBERON:0016525, lateral orbital gyrus-UBERON:0002564
frontal lobe-UBERON:0016525, paracentral lobule, rostral part-UBERON:0035932
frontal lobe-UBERON:0016525, paracingulate gyrus-UBERON:0022398
frontal lobe-UBERON:0016525, frontal operculum-UBERON:0002947
frontal lobe-UBERON:0016525, orbital operculum-UBERON:0002593
frontal lobe-UBERON:0016525, rostral gyrus-UBERON:0019280
rostral gyrus-UBERON:0019280, superior rostral gyrus-UBERON:0019279
rostral gyrus-UBERON:0019280, inferior rostral gyrus-UBERON:0019278
frontal lobe-UBERON:0016525, lateral olfactory gyrus-UBERON:0004725
frontal lobe-UBERON:0016525, frontomarginal gyrus
frontal lobe-UBERON:0016525, frontal pole
cerebral cortex-UBERON:0000956, parietal lobe-UBERON:0001872
parietal lobe-UBERON:0001872, postcentral gyrus
parietal lobe-UBERON:0001872, supraparietal lobule
parietal lobe-UBERON:0001872, inferior parietal lobule
inferior parietal lobule, supramarginal gyrus-UBERON:0002688
inferior parietal lobule, angular gyrus-UBERON:0002686
parietal lobe-UBERON:0001872, precuneus
parietal lobe-UBERON:0001872, paracentral lobule, caudal part
parietal lobe-UBERON:0001872, parietal operculum
cerebral cortex-UBERON:0000956, temporal lobe-UBERON:0001871
temporal lobe-UBERON:0001871, superior temporal gyrus
temporal lobe-UBERON:0001871, middle temporal gyrus
temporal lobe-UBERON:0001871, inferior temporal gyrus
temporal lobe-UBERON:0001871, occipitotemporal (fusiform) gyrus, temporal part
occipitotemporal (fusiform) gyrus, temporal part, perirhinal gyrus ( rostral part of FuGt)
temporal lobe-UBERON:0001871, transverse temporal gyrus (Heschl's gyrus)
transverse temporal gyrus (Heschl's gyrus), rostral (anterior) transverse temporal gyrus
transverse temporal gyrus (Heschl's gyrus), caudal (posterior) transverse temporal gyrus
temporal lobe-UBERON:0001871, planum temporale
temporal lobe-UBERON:0001871, temporal pole
temporal pole, perirhinal lobule
temporal lobe-UBERON:0001871, planum polare
cerebral cortex-UBERON:0000956, occipital lobe-UBERON:0002021
occipital lobe-UBERON:0002021, occipital pole
occipital lobe-UBERON:0002021, occipitoparietal transition region
occipital lobe-UBERON:0002021, occipitotemporal transition region
occipital lobe-UBERON:0002021, cuneus
occipital lobe-UBERON:0002021, lingual gyrus
occipital lobe-UBERON:0002021, occipitotemporal (fusiform) gyrus, occipital part
occipital lobe-UBERON:0002021, inferior occipital gyrus
occipital lobe-UBERON:0002021, superior occipital gyrus
cerebral cortex-UBERON:0000956, insular lobe-UBERON:0002022
insular lobe-UBERON:0002022, long insular gyri
insular lobe-UBERON:0002022, short insular gyri
cerebral cortex-UBERON:0000956, limbic lobe-UBERON:0002600
limbic lobe-UBERON:0002600, cingulate gyrus
cingulate gyrus, cingulate gyrus, rostral (anterior) part
cingulate gyrus, cingulate gyrus, caudal (posterior) part
cingulate gyrus, cingulate gyrus, retrospleninal part
limbic lobe-UBERON:0002600, cingulo-parahippocampal isthmus
limbic lobe-UBERON:0002600, subcallosal gyrus (parolfactory gyrus)
limbic lobe-UBERON:0002600, paraterminal gyrus
limbic lobe-UBERON:0002600, parahippocampal gyrus
parahippocampal gyrus, anterior parahippocampal gyrus
parahippocampal gyrus, posterior parahippocampal gyrus
parahippocampal gyrus, uncus of parahippocampal gyrus
limbic lobe-UBERON:0002600, hippocampal gyrus (formation)
hippocampal gyrus (formation), head of hippocampus
hippocampal gyrus (formation), body of hippocampus
hippocampal gyrus (formation), subicular complex
limbic lobe-UBERON:0002600, prepiriform region
limbic lobe-UBERON:0002600, Olfactory bulb
gray matter of forebrain-UBERON:0019264, amygdaloid complex
amygdaloid complex, anterior amygdalar area
amygdaloid complex, anterior cortical nucleus
amygdaloid complex, posterior cortical nucleus
amygdaloid complex, medial nucleus
amygdaloid complex, lateral nucleus
amygdaloid complex, basolateral nucleus
amygdaloid complex, basomedial nucleus
amygdaloid complex, central nuclear group
amygdaloid complex, amygdalohippocampal area
amygdaloid complex, bed nucleus of stria terminalis
gray matter of forebrain-UBERON:0019264, basal nuclei (basal ganglia)
basal nuclei (basal ganglia), caudate nucleus
basal nuclei (basal ganglia), putamen
basal nuclei (basal ganglia), mucleus accumbens
basal nuclei (basal ganglia), globus pallidus, internal
basal nuclei (basal ganglia), globus pallidus, external
gray matter of forebrain-UBERON:0019264, claustrum
gray matter of forebrain-UBERON:0019264, basal forebrain
basal forebrain, septal nuclei
basal forebrain, substantia Innominata
gray matter of forebrain-UBERON:0019264, thalamus
thalamus, dorsal thalamus
dorsal thalamus, anterior nuclear complex
dorsal thalamus, mediodorsal nucleus of thalamus
dorsal thalamus, reunions nucleus of thalamus
dorsal thalamus, lateral posterior nucleus
dorsal thalamus, pulvinar of thalamus
dorsal thalamus, ventral anterior nucleus
dorsal thalamus, ventral lateral nucleus
dorsal thalamus, ventral posterior medial nucleus
dorsal thalamus, ventral posterior lateral nucleus
dorsal thalamus, lateral geniculate nuclei
dorsal thalamus, medial geniculate nuclei
dorsal thalamus, parafascicular nucleus
dorsal thalamus, centromedian nucleus
dorsal thalamus, midline nuclear complex
thalamus, ventral thalamus
ventral thalamus, zona Incerta
thalamus, epithalamus
epithalamus, habenular nuclei
epithalamus, paraventricular nucleus of thalamus
epithalamus, pineal body
thalamus, reticular formation of thalamus
thalamus, subthalamic nucleus (subthalamus)
gray matter of forebrain-UBERON:0019264, hypothalamus
hypothalamus, preoptic region
hypothalamus, supraoptic region
hypothalamus, tuberal region
hypothalamus, mammillary region
mammillary region, mammillary nucleus
forebrain (prosencephalon)-UBERON:0001890, white matter of forebrain-UBERON:0019261
white matter of forebrain-UBERON:0019261, anterior commissure
white matter of forebrain-UBERON:0019261, corpus callosum (midline portion)
white matter of forebrain-UBERON:0019261, fornix
white matter of forebrain-UBERON:0019261, internal capsule
white matter of forebrain-UBERON:0019261, mammillothalamic tract
white matter of forebrain-UBERON:0019261, olfactory tract
white matter of forebrain-UBERON:0019261, optic radiation
white matter of forebrain-UBERON:0019261, optic tract
forebrain (prosencephalon)-UBERON:0001890, ventricle of forebrain
ventricle of forebrain, lateral ventricles-UBERON:0002285
lateral ventricles-UBERON:0002285, anterior horn of lateral ventricle-UBERON:0002651
lateral ventricles-UBERON:0002285, body of lateral ventricle-UBERON:0002655
lateral ventricles-UBERON:0002285, atrium of lateral ventricle-no good match
lateral ventricles-UBERON:0002285, posterior horn of lateral ventricle-UBERON:0004672
lateral ventricles-UBERON:0002285, inferior horn of lateral ventricle-UBERON:0006091
ventricle of forebrain, third ventricle-UBERON:0002286
brain-UBERON:0000955, midbrain (mesencephalon)-UBERON:0001891
midbrain (mesencephalon)-UBERON:0001891, gray matter of midbrain-UBERON:0019267
gray matter of midbrain-UBERON:0019267, Pretectal region-UBERON:0001944
gray matter of midbrain-UBERON:0019267, midbrain tegmentum-UBERON:0001943
gray matter of midbrain-UBERON:0019267, periaqueductal gray substance-UBERON:0003040
gray matter of midbrain-UBERON:0019267, red nucleus
gray matter of midbrain-UBERON:0019267, substantia nigra
gray matter of midbrain-UBERON:0019267, superior colliculus
gray matter of midbrain-UBERON:0019267, inferior colliculus
midbrain (mesencephalon)-UBERON:0001891, white matter of midbrain-UBERON:0016554
white matter of midbrain-UBERON:0016554, cerebral peduncle
midbrain (mesencephalon)-UBERON:0001891, ventricle of midbrain (cerebral aqueduct)-UBERON:0002289
brain-UBERON:0000955, hindbrain (rhombencephalon)-UBERON:0002028
hindbrain (rhombencephalon)-UBERON:0002028, gray matter of hindbrain-UBERON:0019263
gray matter of hindbrain-UBERON:0019263, cerebellum-UBERON:0002037
cerebellum-UBERON:0002037, cerebellar cortex
cerebellum-UBERON:0002037, paravermis of cerebellum
cerebellum-UBERON:0002037, lateral hemisphere of cerebellum
cerebellum-UBERON:0002037, cerebellar vermis-UBERON:0004720
cerebellum-UBERON:0002037, cerebellar deep nuclei-no good match
gray matter of hindbrain-UBERON:0019263, pons-UBERON:0000988
pons-UBERON:0000988, pontine tegmentum-UBERON:0003023
pontine tegmentum-UBERON:0003023, vestibular nuclei-UBERON:0007228
pontine tegmentum-UBERON:0003023, parabrachial nuclei-UBERON:0007634
pons-UBERON:0000988, basilar part of pons (Pontine nuclei)-UBERON:0002151
gray matter of hindbrain-UBERON:0019263, medulla oblongata-UBERON:0001896
medulla oblongata-UBERON:0001896, tegmentum of the medulla-UBERON:0024151
tegmentum of the medulla-UBERON:0024151, spinal trigeminal nucleus-UBERON:0001717
gray matter of hindbrain-UBERON:0019263, medulla oblongata
medulla oblongata, tegmentum of the medulla-UBERON:0024151
tegmentum of the medulla-UBERON:0024151, inferior olive
hindbrain (rhombencephalon)-UBERON:0002028, white matter of hindbrain-UBERON:0019258
white matter of hindbrain-UBERON:0019258, pyramidal tract-UBERON:0002707
white matter of hindbrain-UBERON:0019258, superior cerebellar peduncle-UBERON:0002150
white matter of hindbrain-UBERON:0019258, middle cerebellar peduncle-UBERON:0002152
white matter of hindbrain-UBERON:0019258, inferior cerebellar peduncle-UBERON:0002163
hindbrain (rhombencephalon)-UBERON:0002028, ventricles of hindbrain-UBERON:0004086
ventricles of hindbrain-UBERON:0004086, fourth ventricle-UBERON:0002422
ventricles of hindbrain-UBERON:0004086, central canal of medulla oblongata-UBERON:0002291
Primary motor cortex-UBERON:0001384, Inh L1 LAMP5 PVRL2
Primary motor cortex-UBERON:0001384, Inh L1 LAMP5 RAB11FIP1
Primary motor cortex-UBERON:0001384, Inh L1-6 LAMP5 AARD
Primary motor cortex-UBERON:0001384, Inh L1-6 LAMP5 NES
Primary motor cortex-UBERON:0001384, Inh L1-6 LAMP5 CA1
Primary motor cortex-UBERON:0001384, Inh L5-6 LAMP5 CRABP1
Primary motor cortex-UBERON:0001384, Inh L3-6 PAX6 LINC01497
Primary motor cortex-UBERON:0001384, Inh L1 PAX6 MIR101-1
Primary motor cortex-UBERON:0001384, Inh L1 LAMP5 BMP2
Primary motor cortex-UBERON:0001384, Inh L1 LAMP5 NMBR
Primary motor cortex-UBERON:0001384, Inh L1 PAX6 CHRFAM7A
Primary motor cortex-UBERON:0001384, Inh L1-6 VIP SLC7A6OS
Primary motor cortex-UBERON:0001384, Inh L2 PAX6 FREM2
Primary motor cortex-UBERON:0001384, Inh L1-2 VIP HTR3A
Primary motor cortex-UBERON:0001384, Inh L1-2 VIP WNT4
Primary motor cortex-UBERON:0001384, Inh L1 PVALB SST ASIC4
Primary motor cortex-UBERON:0001384, Inh L1 SST P4HA3
Primary motor cortex-UBERON:0001384, Inh L1 SST DEFB108B
Primary motor cortex-UBERON:0001384, Inh L1-3 VIP CBLN1
Primary motor cortex-UBERON:0001384, Inh L1-2 VIP EXPH5
Primary motor cortex-UBERON:0001384, Inh L1-3 VIP HSPB6
Primary motor cortex-UBERON:0001384, Inh L1-2 VIP PTGER3
Primary motor cortex-UBERON:0001384, Inh L1-2 VIP SCML4
Primary motor cortex-UBERON:0001384, Inh L1-3 VIP FNDC1
Primary motor cortex-UBERON:0001384, Inh L1-3 VIP CHRNA2
Primary motor cortex-UBERON:0001384, Inh L2 VIP SLC6A16
Primary motor cortex-UBERON:0001384, Inh L1 VIP KLHDC8B
Primary motor cortex-UBERON:0001384, Inh L3-5 VIP IGDCC3
Primary motor cortex-UBERON:0001384, Inh L1-5 VIP SMOC1
Primary motor cortex-UBERON:0001384, Inh L3-5 VIP HS3ST3A1
Primary motor cortex-UBERON:0001384, Inh L5-6 VIP COL4A3
Primary motor cortex-UBERON:0001384, Inh L1-5 VIP CD27-AS1
Primary motor cortex-UBERON:0001384, Inh L2-5 VIP BSPRY
Primary motor cortex-UBERON:0001384, Inh L2-5 VIP SOX11
Primary motor cortex-UBERON:0001384, Inh L3-6 VIP ZIM2-AS1
Primary motor cortex-UBERON:0001384, Inh L1-5 VIP PHLDB3
Primary motor cortex-UBERON:0001384, Inh L1-5 VIP LINC01013
Primary motor cortex-UBERON:0001384, Inh L3-6 VIP UG0898H09
Primary motor cortex-UBERON:0001384, Inh L3-5 VIP TAC3
Primary motor cortex-UBERON:0001384, Inh L1-6 SST NPY (Sset Chodl)
Primary motor cortex-UBERON:0001384, Inh L3-5 SST CDH3
Primary motor cortex-UBERON:0001384, Inh L5 SST RPL35AP11
Primary motor cortex-UBERON:0001384, Inh L5-6 SST ISX
Primary motor cortex-UBERON:0001384, Inh L5-6 PVALB SST CRHR2
Primary motor cortex-UBERON:0001384, Inh L3-5 SST OR5AH1P
Primary motor cortex-UBERON:0001384, Inh L3-5 SST GGTLC3
Primary motor cortex-UBERON:0001384, Inh L2-3 SST NMU
Primary motor cortex-UBERON:0001384, Inh L5-6 SST PAWR
Primary motor cortex-UBERON:0001384, Inh L5-6 SST PIK3CD
Primary motor cortex-UBERON:0001384, Inh L1-2 SST CCNJL
Primary motor cortex-UBERON:0001384, Inh L1-3 SST FAM20A
Primary motor cortex-UBERON:0001384, Inh L1-2 SST PRRT4
Primary motor cortex-UBERON:0001384, Inh L5-6 SST BEAN1
Primary motor cortex-UBERON:0001384, Inh L5-6 SST DNAJC14
Primary motor cortex-UBERON:0001384, Inh L5-6 SST C4orf26
Primary motor cortex-UBERON:0001384, Inh L5-6 SST FBN2
Primary motor cortex-UBERON:0001384, Inh L5-6 SST KLHL1
Primary motor cortex-UBERON:0001384, Inh L6 SST TH
Primary motor cortex-UBERON:0001384, Inh L5-6 PVALB KCNIP2
Primary motor cortex-UBERON:0001384, Inh L5-6 PVALB ZFPM2-AS1
Primary motor cortex-UBERON:0001384, Inh L3-5 PVALB ISG20
Primary motor cortex-UBERON:0001384, Inh L5 PVALB LRIG3
Primary motor cortex-UBERON:0001384, Inh L2-5 PVALB HHIPL1
Primary motor cortex-UBERON:0001384, Inh L2-5 PVALB RPH3AL
Primary motor cortex-UBERON:0001384, Inh L3 PVALB SAMD13
Primary motor cortex-UBERON:0001384, Inh L1-2 PVALB CDK20
Primary motor cortex-UBERON:0001384, Inh L2 PVALB FRZB
Primary motor cortex-UBERON:0001384, Inh L1-2 SST CLIC6
Primary motor cortex-UBERON:0001384, Inh L5-6 PVALB GAPDHP60
Primary motor cortex-UBERON:0001384, Inh L5-6 PVALB FAM150B
Primary motor cortex-UBERON:0001384, Inh L5-6 PVALB MEPE
Primary motor cortex-UBERON:0001384, Inh L1-6 PVALB COL15A1 (Chandelier)
Primary motor cortex-UBERON:0001384, Exc L2 LAMP5 KCNG3
Primary motor cortex-UBERON:0001384, Exc L2 LINC00507 ATP7B
Primary motor cortex-UBERON:0001384, Exc L2 LINC00507 GLRA3
Primary motor cortex-UBERON:0001384, Exc L2-3 RORB RTKN2
Primary motor cortex-UBERON:0001384, Exc L2-3 LINC00507 DSG3
Primary motor cortex-UBERON:0001384, Exc L3 LAMP5 CARM1P1
Primary motor cortex-UBERON:0001384, Exc L2-3 RORB CCDC68
Primary motor cortex-UBERON:0001384, Exc L2-3 RORB PTPN3
Primary motor cortex-UBERON:0001384, Exc L3 THEMIS ENPEP
Primary motor cortex-UBERON:0001384, Exc L3-5 RORB TNNT2
Primary motor cortex-UBERON:0001384, Exc L3-5 RORB LAMA4
Primary motor cortex-UBERON:0001384, Exc L5 THEMIS VILL
Primary motor cortex-UBERON:0001384, Exc L3 RORB OTOGL
Primary motor cortex-UBERON:0001384, Exc L3-5 RORB LINC01202
Primary motor cortex-UBERON:0001384, Exc L5 THEMIS SLC22A18
Primary motor cortex-UBERON:0001384, Exc L5-6 THEMIS TNFAIP6
Primary motor cortex-UBERON:0001384, Exc L3-5 RORB LNX2
Primary motor cortex-UBERON:0001384, Exc L3-5 RORB RPRM
Primary motor cortex-UBERON:0001384, Exc L5 RORB MED8
Primary motor cortex-UBERON:0001384, Exc L5 THEMIS FGF10
Primary motor cortex-UBERON:0001384, Exc L6 THEMIS LINC00343
Primary motor cortex-UBERON:0001384, Exc L6 THEMIS SLN
Primary motor cortex-UBERON:0001384, Exc L6 THEMIS SNTG2
Primary motor cortex-UBERON:0001384, Exc L5-6 THEMIS SMYD1 (L6 IT Car3)
Primary motor cortex-UBERON:0001384, Exc L5-6 FEZF2 OR1L8
Primary motor cortex-UBERON:0001384, Exc L5 THEMIS LINC01116
Primary motor cortex-UBERON:0001384, Exc L5 THEMIS RGPD6
Primary motor cortex-UBERON:0001384, Exc L5-6 FEZF2 C9orf135-AS1
Primary motor cortex-UBERON:0001384, Exc L5-6 FEZF2 FILIP1L
Primary motor cortex-UBERON:0001384, Exc L5-6 FEZF2 SH2D1B
Primary motor cortex-UBERON:0001384, Exc L6 FEZF2 PDYN
Primary motor cortex-UBERON:0001384, Exc L6 FEZF2 FFAR4
Primary motor cortex-UBERON:0001384, Exc L6 FEZF2 PROKR2
Primary motor cortex-UBERON:0001384, Exc L5-6 FEZF2 CFTR
Primary motor cortex-UBERON:0001384, Exc L6 FEZF2 KLK7
Primary motor cortex-UBERON:0001384, Exc L6 FEZF2 POGK
Primary motor cortex-UBERON:0001384, Exc L5 FEZF2 CSN1S1
Primary motor cortex-UBERON:0001384, Exc L3-5 FEZF2 ASGR2
Primary motor cortex-UBERON:0001384, Exc L3-5 FEZF2 LINC01107
Primary motor cortex-UBERON:0001384, Exc L5 FEZF2 PKD2L1
Primary motor cortex-UBERON:0001384, Exc L5 FEZF2 NREP-AS1
Primary motor cortex-UBERON:0001384, Exc L5 FEZF2 RNF144A-AS1
Primary motor cortex-UBERON:0001384, Exc L5-6 FEZF2 IFNG-AS1
Primary motor cortex-UBERON:0001384, Exc L5-6 FEZF2 LPO
Primary motor cortex-UBERON:0001384, OPC L1-6 PDGFRA COL20A1
Primary motor cortex-UBERON:0001384, Oligo L2-6 OPALIN MAP6D1
Primary motor cortex-UBERON:0001384, Oligo L3-6 OPALIN ENPP6
Primary motor cortex-UBERON:0001384, Oligo L2-6 OPALIN FTH1P3
Primary motor cortex-UBERON:0001384, Oligo L5-6 OPALIN LDLRAP1
Primary motor cortex-UBERON:0001384, Astro L1-6 FGFR3 AQP1
Primary motor cortex-UBERON:0001384, Astro L1 FGFR3 SERPINI2
Primary motor cortex-UBERON:0001384, Astro L1-6 FGFR3 PLCG1
Primary motor cortex-UBERON:0001384, Endo L2-5 NOSTRIN SRGN
Primary motor cortex-UBERON:0001384, VLMC L1-5 PDGFRA COLEC12
Primary motor cortex-UBERON:0001384, Micro L1-6 TYROBP CD74
Body, skin-UBERON:0002097
skin-UBERON:0002097, Epidermis-UBERON_0001003
Epidermis-UBERON_0001003, Stratum corneum (SC)-UBERON_0002027
Epidermis-UBERON_0001003, Stratum granulosum (SG)-UBERON_0002069
Epidermis-UBERON_0001003, Stratum spinosum (SS)-UBERON_0002026
Epidermis-UBERON_0001003, Stratum basale (SB)-UBERON_0002025
Epidermis-UBERON_0001003, Nail plate
skin-UBERON:0002097, Dermis-UBERON_0002199
Dermis-UBERON_0002199, Hair follicles
Dermis-UBERON_0002199, Sebaceous glands
Dermis-UBERON_0002199, Eccrine (sweat) glands
Dermis-UBERON_0002199, Apocrine glands
Dermis-UBERON_0002199, nerve
Dermis-UBERON_0002199, Blood vessels
skin-UBERON:0002097, Subcutaneous-UBERON_0002072
Subcutaneous-UBERON_0002072, nerve
Subcutaneous-UBERON_0002072, Blood vessels
Stratum corneum (SC)-UBERON_0002027, Keratinocyte (Corneocyte)
Stratum granulosum (SG)-UBERON_0002069, Keratinocyte (Granular)-CL:0000312
Stratum granulosum (SG)-UBERON_0002069, Langerhans cell-CL:0002457
Stratum spinosum (SS)-UBERON_0002026, Keratinocytes (Spinous)-CL:0000649
Stratum spinosum (SS)-UBERON_0002026, Langerhans cell-CL:0002457
Stratum spinosum (SS)-UBERON_0002026, Merkel cell-CL:0000242
Stratum basale (SB)-UBERON_0002025, Keratinocyte (Basal)-CL:0000646
Stratum basale (SB)-UBERON_0002025, Langerhans cell-CL:0002457
Stratum basale (SB)-UBERON_0002025, Merkel cell-CL:0000242
Stratum basale (SB)-UBERON_0002025, Melanocyte-CL:1000458
Nail plate, Keratinocyte (Onychocyte)-N/A
Hair follicles, keratinocyte stem cell-CL:0002337
Sebaceous glands, Germinative (epithelial) cell, Sebocyte-CL:0000151
Eccrine (sweat) glands, Eccrine cell, myoepithelial cell-CL:1000417
Apocrine glands, Apocrine cell, myoepithelial cell-CL:1000417
nerve, Neuron-CL:0000540
Blood vessels, Endothelial cell-CL:0000115
nerve, Neuron-CL:0000540
Blood vessels, Endothelial cell-CL:0000115
Body, heart-UBERON:0000948
heart-UBERON:0000948, right atrium-UBERON:0002078
right atrium-UBERON:0002078, sinoatrial node-UBERON:0002351
right atrium-UBERON:0002078, sinoatrial nodal artery-FMAID:3823
right atrium-UBERON:0002078, myocardium-FMAID:83531
right atrium-UBERON:0002078, vasculature-UBERON:0002049
right atrium-UBERON:0002078, vasculature
right atrium-UBERON:0002078, anterior cardiac veins-FMAID:76767
heart-UBERON:0000948, atrioventricular junction-UBERON:0011820
atrioventricular junction-UBERON:0011820, left circumflex artery-UBERON:0035422
atrioventricular junction-UBERON:0011820, atrioventicular nodal artery-FMAID:3851
atrioventricular junction-UBERON:0011820, coronary sinus-UBERON:0005438
atrioventricular junction-UBERON:0011820, atrioventricular node-UBERON:0002352
atrioventricular junction-UBERON:0011820, right coronary artery-UBERON:0001625
atrioventricular junction-UBERON:0011820, small cardiac vein-UBERON:0035374
heart-UBERON:0000948, left atrium-UBERON:0002079
left atrium-UBERON:0002079, myocardium-FMAID:83532
left atrium-UBERON:0002079, vasculature-UBERON:0002049
left atrium-UBERON:0002079, vasculature-UBERON:0001982
left atrium-UBERON:0002079, vasculature-UBERON:0001979
left atrium-UBERON:0002079, left inferior pulmonary vein-FMAID:49913
left atrium-UBERON:0002079, left superior pulmonary vein-FMAID:49916
left atrium-UBERON:0002079, right inferior pulmonary vein-FMAID:49911
left atrium-UBERON:0002079, right superior pulmonary vein-FMAID:49914
left atrium-UBERON:0002079, oblique vein of the left atrium-FMAID:4715
heart-UBERON:0000948, left ventricle-UBERON:0002084
left ventricle-UBERON:0002084, myocardium-UBERON:0006566
left ventricle-UBERON:0002084, vasculature-UBERON:0002049
left ventricle-UBERON:0002084, vasculature-UBERON:0001982
left ventricle-UBERON:0002084, vasculature-UBERON:0001979
left ventricle-UBERON:0002084, left diagonal branch of the left anterior descending artery-FMAID:3860
left ventricle-UBERON:0002084, left obtuse marginal branch of the left coronary artery-FMAID:3902
left ventricle-UBERON:0002084, posterior left ventricular branch of the right coronary artery-FMAID:3835
left ventricle-UBERON:0002084, left marginal vein-FMAID:4708
